"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2016 16:30 - 02.01.2016 16:45","47354","56964"
"02.01.2016 16:45 - 02.01.2016 17:00","48520","57987"
"02.01.2016 17:00 - 02.01.2016 17:15","49979","58925"
"02.01.2016 17:15 - 02.01.2016 17:30","50476","59597"
"02.01.2016 17:30 - 02.01.2016 17:45","51457","59982"
"02.01.2016 17:45 - 02.01.2016 18:00","51466","60333"
"02.01.2016 18:00 - 02.01.2016 18:15","51731","60389"
"02.01.2016 18:15 - 02.01.2016 18:30","52246","60316"
"02.01.2016 18:30 - 02.01.2016 18:45","51895","59969"
"02.01.2016 18:45 - 02.01.2016 19:00","51359","59464"
"02.01.2016 19:00 - 02.01.2016 19:15","51694","59317"
"02.01.2016 19:15 - 02.01.2016 19:30","50474","58708"
"02.01.2016 19:30 - 02.01.2016 19:45","50121","58240"
"02.01.2016 19:45 - 02.01.2016 20:00","50321","57673"
"02.01.2016 20:00 - 02.01.2016 20:15","48964","56501"
"02.01.2016 20:15 - 02.01.2016 20:30","47766","55223"
"02.01.2016 20:30 - 02.01.2016 20:45","47190","54193"
"02.01.2016 20:45 - 02.01.2016 21:00","46000","53402"
"02.01.2016 21:00 - 02.01.2016 21:15","45959","52946"
"02.01.2016 21:15 - 02.01.2016 21:30","45187","52577"
"02.01.2016 21:30 - 02.01.2016 21:45","45138","52111"
"02.01.2016 21:45 - 02.01.2016 22:00","45007","51961"
"02.01.2016 22:00 - 02.01.2016 22:15","45420","52595"
"02.01.2016 22:15 - 02.01.2016 22:30","45927","52183"
"02.01.2016 22:30 - 02.01.2016 22:45","45306","51525"
"02.01.2016 22:45 - 02.01.2016 23:00","44773","50803"
"02.01.2016 23:00 - 02.01.2016 23:15","44100","50081"
"02.01.2016 23:15 - 02.01.2016 23:30","43727","49421"
"02.01.2016 23:30 - 02.01.2016 23:45","42423","48466"
"02.01.2016 23:45 - 03.01.2016 00:00","41373","47579"
"03.01.2016 00:00 - 03.01.2016 00:15","40019","46812"
"03.01.2016 00:15 - 03.01.2016 00:30","39347","45957"
"03.01.2016 00:30 - 03.01.2016 00:45","38919","45044"
"03.01.2016 00:45 - 03.01.2016 01:00","38448","44270"
"03.01.2016 01:00 - 03.01.2016 01:15","38007","43625"
"03.01.2016 01:15 - 03.01.2016 01:30","37516","43222"
"03.01.2016 01:30 - 03.01.2016 01:45","37409","42608"
"03.01.2016 01:45 - 03.01.2016 02:00","37156","42229"
"03.01.2016 02:00 - 03.01.2016 02:15","36786","42165"
"03.01.2016 02:15 - 03.01.2016 02:30","36517","41798"
"03.01.2016 02:30 - 03.01.2016 02:45","36317","41483"
"03.01.2016 02:45 - 03.01.2016 03:00","35943","41392"
"03.01.2016 03:00 - 03.01.2016 03:15","35860","41298"
"03.01.2016 03:15 - 03.01.2016 03:30","35824","41304"
"03.01.2016 03:30 - 03.01.2016 03:45","35846","41261"
"03.01.2016 03:45 - 03.01.2016 04:00","35653","41125"
"03.01.2016 04:00 - 03.01.2016 04:15","35724","41214"
"03.01.2016 04:15 - 03.01.2016 04:30","35832","41169"
"03.01.2016 04:30 - 03.01.2016 04:45","35441","41265"
"03.01.2016 04:45 - 03.01.2016 05:00","35617","41096"
"03.01.2016 05:00 - 03.01.2016 05:15","35611","41140"
"03.01.2016 05:15 - 03.01.2016 05:30","35205","40854"
"03.01.2016 05:30 - 03.01.2016 05:45","34932","40681"
"03.01.2016 05:45 - 03.01.2016 06:00","34333","40332"
"03.01.2016 06:00 - 03.01.2016 06:15","33778","39810"
"03.01.2016 06:15 - 03.01.2016 06:30","33538","39999"
"03.01.2016 06:30 - 03.01.2016 06:45","33917","40267"
"03.01.2016 06:45 - 03.01.2016 07:00","33732","40578"
"03.01.2016 07:00 - 03.01.2016 07:15","34937","40984"
"03.01.2016 07:15 - 03.01.2016 07:30","35104","41298"
"03.01.2016 07:30 - 03.01.2016 07:45","35888","42174"
"03.01.2016 07:45 - 03.01.2016 08:00","36631","42814"
"03.01.2016 08:00 - 03.01.2016 08:15","37132","43464"
"03.01.2016 08:15 - 03.01.2016 08:30","37792","44161"
"03.01.2016 08:30 - 03.01.2016 08:45","38237","44740"
"03.01.2016 08:45 - 03.01.2016 09:00","39122","45419"
"03.01.2016 09:00 - 03.01.2016 09:15","40224","46414"
"03.01.2016 09:15 - 03.01.2016 09:30","40930","47208"
"03.01.2016 09:30 - 03.01.2016 09:45","41508","48124"
"03.01.2016 09:45 - 03.01.2016 10:00","42375","48928"
"03.01.2016 10:00 - 03.01.2016 10:15","42784","49767"
"03.01.2016 10:15 - 03.01.2016 10:30","43810","50430"
"03.01.2016 10:30 - 03.01.2016 10:45","44165","50976"
"03.01.2016 10:45 - 03.01.2016 11:00","44669","51742"
"03.01.2016 11:00 - 03.01.2016 11:15","45200","52524"
"03.01.2016 11:15 - 03.01.2016 11:30","45919","53446"
"03.01.2016 11:30 - 03.01.2016 11:45","46458","54300"
"03.01.2016 11:45 - 03.01.2016 12:00","46449","54353"
"03.01.2016 12:00 - 03.01.2016 12:15","46657","54308"
"03.01.2016 12:15 - 03.01.2016 12:30","46203","54195"
"03.01.2016 12:30 - 03.01.2016 12:45","46017","53882"
"03.01.2016 12:45 - 03.01.2016 13:00","45467","53404"
"03.01.2016 13:00 - 03.01.2016 13:15","44970","53044"
"03.01.2016 13:15 - 03.01.2016 13:30","44481","52636"
"03.01.2016 13:30 - 03.01.2016 13:45","44105","52362"
"03.01.2016 13:45 - 03.01.2016 14:00","43878","51725"
"03.01.2016 14:00 - 03.01.2016 14:15","43422","51512"
"03.01.2016 14:15 - 03.01.2016 14:30","43276","51268"
"03.01.2016 14:30 - 03.01.2016 14:45","43545","50917"
"03.01.2016 14:45 - 03.01.2016 15:00","42710","50531"
"03.01.2016 15:00 - 03.01.2016 15:15","42750","50838"
"03.01.2016 15:15 - 03.01.2016 15:30","42349","50684"
"03.01.2016 15:30 - 03.01.2016 15:45","42750","50890"
"03.01.2016 15:45 - 03.01.2016 16:00","43171","50887"
"03.01.2016 16:00 - 03.01.2016 16:15","43113","51284"
"03.01.2016 16:15 - 03.01.2016 16:30","43776","52034"
"03.01.2016 16:30 - 03.01.2016 16:45","44656","53142"
"03.01.2016 16:45 - 03.01.2016 17:00","45437","54433"
"03.01.2016 17:00 - 03.01.2016 17:15","46805","55922"
"03.01.2016 17:15 - 03.01.2016 17:30","47980","56736"
"03.01.2016 17:30 - 03.01.2016 17:45","48876","57040"
"03.01.2016 17:45 - 03.01.2016 18:00","48751","57472"
"03.01.2016 18:00 - 03.01.2016 18:15","48904","57895"
"03.01.2016 18:15 - 03.01.2016 18:30","49161","57597"
"03.01.2016 18:30 - 03.01.2016 18:45","48945","57332"
"03.01.2016 18:45 - 03.01.2016 19:00","48345","57322"
"03.01.2016 19:00 - 03.01.2016 19:15","49398","57109"
"03.01.2016 19:15 - 03.01.2016 19:30","48359","56667"
"03.01.2016 19:30 - 03.01.2016 19:45","48318","56095"
"03.01.2016 19:45 - 03.01.2016 20:00","47888","55701"
"03.01.2016 20:00 - 03.01.2016 20:15","47442","55536"
"03.01.2016 20:15 - 03.01.2016 20:30","46349","54610"
"03.01.2016 20:30 - 03.01.2016 20:45","46076","53676"
"03.01.2016 20:45 - 03.01.2016 21:00","45487","52803"
"03.01.2016 21:00 - 03.01.2016 21:15","45322","53027"
"03.01.2016 21:15 - 03.01.2016 21:30","45047","52666"
"03.01.2016 21:30 - 03.01.2016 21:45","44982","52299"
"03.01.2016 21:45 - 03.01.2016 22:00","44877","52444"
"03.01.2016 22:00 - 03.01.2016 22:15","45635","53439"
"03.01.2016 22:15 - 03.01.2016 22:30","45761","52867"
